address,sale_price,building_size,price_per_sf,closing_date,year_built,cap_rate,buyer,seller,raw_address_data,source_type,source_file
"Carter Crossing
1444 Greens Pkwy
Houston, TX","$20,537,242"," 137,171 ",$150,Sep-25,100%,5.37%,Griffin Partners / Cohen,Griffin Partners / Cohen,"Carter Crossing
1444 Greens Pkwy
Houston, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Raceway Northwest Distribution Center
9707 Fairbanks N Houston Rd
Houston, TX ","$22,400,000"," 156,483 ",$143,Sep-25,100%,5.44%,Stream / Alliance Industrial,Stream / Alliance Industrial,"Raceway Northwest Distribution Center
9707 Fairbanks N Houston Rd
Houston, TX  100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"225 Crossing
310 Beltway Green Blvd,
Pasadena, TX","$29,400,000"," 163,402 ",$180,Aug-25,100%,5.24%,Alliance / Sagard,Alliance / Sagard,"225 Crossing
310 Beltway Green Blvd,
Pasadena, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Project Channel
11750 Timber Forest Dr
Houston, TX","$162,584,459"," 1,395,410 ",$117,May-25,100%,5.45%,Panattoni / Eaton Vance,Panattoni / Eaton Vance,"Project Channel
11750 Timber Forest Dr
Houston, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"DHT-4 Last Mile
15302 Cypress North Houston Rd
Cypress, TX","$44,500,000"," 141,360 ",$315,Apr-25,100%,5.95%,Principal/Vigavi / Azora Exan/Allegra,Principal/Vigavi / Azora Exan/Allegra,"DHT-4 Last Mile
15302 Cypress North Houston Rd
Cypress, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"True Port Distribution Center
2830 E Pasadena Blvd
Deer Park, TX 77536","$37,100,000"," 254,705 ",$146,Feb-25,100%,5.26%,Phelan Bennett / CenterPoint,Phelan Bennett / CenterPoint,"True Port Distribution Center
2830 E Pasadena Blvd
Deer Park, TX 77536 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"225 Logistics Center
2818 Pasadena Fwy
Pasadena, TX","$56,180,000"," 403,066 ",$139,Mar-25,100%,5.40%,Vigavi / Clarion,Vigavi / Clarion,"225 Logistics Center
2818 Pasadena Fwy
Pasadena, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Post Oak Logistics Park
12631 Main Street
Houston, TX","$66,200,373"," 536,992 ",$123,Nov-24,100%,5.30%,Jackson Shaw / Goldman Sachs,Jackson Shaw / Goldman Sachs,"Post Oak Logistics Park
12631 Main Street
Houston, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Southeast 45 Logistics Park
5115 S Shaver St
Houston, TX","$21,500,000"," 169,667 ",$127,Oct-24,100%,5.78%,Junction Commercial Real Estate / Pacific Acquisitions,Junction Commercial Real Estate / Pacific Acquisitions,"Southeast 45 Logistics Park
5115 S Shaver St
Houston, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Vault Distribution Center
13606 Furman Road
Houston, TX","$21,000,000"," 185,413 ",$113,Sep-24,100%,5.72%,Vault Partners / Lunada Rose Partners,Vault Partners / Lunada Rose Partners,"Vault Distribution Center
13606 Furman Road
Houston, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Park 225
4129 Greenshadow Drive
Pasadena, TX","$36,356,000"," 265,552 ",$137,Jul-24,100%,5.40%,IDV / Bixby,IDV / Bixby,"Park 225
4129 Greenshadow Drive
Pasadena, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"59 Logistics Center
17440 Highway 59
Humble, TX","$57,500,000"," 509,600 ",$113,Jun-24,100%,5.37%,Hunt Southwest / Macquarie,Hunt Southwest / Macquarie,"59 Logistics Center
17440 Highway 59
Humble, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
"Pederson Logistics Center
574 Pederson Road
Katy, TX","$38,800,000"," 343,760 ",$113,Jun-24,100%,5.74%,"Triten Real Estate Partners / Sealy Acquisitions, LLC","Triten Real Estate Partners / Sealy Acquisitions, LLC","Pederson Logistics Center
574 Pederson Road
Katy, TX 100%",SALE,Harbor Capital Sale Comps.xlsx - Sale Comp Template (1).csv
